MID Number,Story
4022,"This dispute involves a series of 26 incidents between November 1993 and April 1995. The primary participants in the dispute were South Korea, North Korea, and USA. Japan was the subject of a North Korean threat in March 1994 and participated in a joint naval exercise with USA, South Korea, Australia, and Canada forces in June 1994. Australian and Canadian participation in the dispute was limited to the naval exercises. During the dispute, North Korea and the American-South Korean side exchanged alerts, threats of forces and war, and shows of force. Both sides conducted border fortifications and North Korea violated the South Korean border as it challenged the Korean War armistice agreement."
4023,"This dispute consists of one incident in which China placed its forces on alert in response to its concern that Taiwan was beginning to increase moves toward independence. China placed its air, naval, and land forces on alert. This dispute consists of one incident in which China placed its forces on alert in response to its concern that Taiwan was beginning to increase moves toward independence. China placed its air, naval, and land forces on alert. "
4024,"The dispute OC00024 is based on the show of force by Taiwan against Philippines. Taiwan has dispatched a pair of police patrol boats to the Spratly Islands in the South China Sea to ""protect Taiwanese fishing vessels and reassert its claim over the disputed islands"" (According to Taiwan's United Daily News report). ""The dispatch aimed at of checking the safety of a route to the island in the wake of seizure of Taiwanese vessels by Philippines and Vietnam"", Taiwan police said."
4025,"The dispute is about a Taiwanese patrol boat which entered Japanese waters while chasing a smuggling vessel. Japan protested Taiwan's border violation, but Taiwan stated that it did not recognize Japanese sovereignty over the Ryukyu Archipelago (Okinawa Islands)."
4026,"This dispute is based on a show of force by Japan to Taiwan. Japanese patrol boats blocked attempts by Taiwanese civilian boats to enter the waters surrounding the Senkaku Islands twice. On 9/4/96, Japanese boats prevented Hong Kong journalists aboard on a Taiwanese charter boat from entry. On 9/6/96, Japanese patrol boats turned back a ship sailing with a Taiwanese lawmaker."
4027,"This dispute is based on a series of militarized incidents between Philippines and China, related to control over the disputed Spratly Islands. In January 1995, China detained Philippine fishermen and Philippines filed an official protest against China. On February 22, 1995, Philippines dispatched naval vessels and aircraft to the Spratlys in response to the discovery of Chinese structures there. The naval craft closed within ""half a mile"" of Chinese vessels and fighter jets conducted renaissance flights in the area. On March 25, 1995, Philippines seized four Chinese fishing vessels sailing near an island claimed by Philippines. Philippines sentenced the new crew to 10 months in jail. China demanded the return of the crew and called the verdict ""illegal."" On May 13, 1995, China and Philippines engaged in mutual ""show of force"", in which Chinese vessels blocked a Philippine navy vessel sailing toward the Spratlys. Philippines sent a navy ship to the Spratly area and an airforce jet to the area when Chinese vessels approached the Philippine ship."
4028,"This dispute is based on a couple of consecutive militarized incidents between China and Philippines over control of the disputed Spratly Islands. In December 1996, Philippines upgraded its capabilities in the Spratlys to prepare for a possible conflict with China. Four months later, in April 1997, four armed Chinese vessels were spotted in the Spratly Islands and cruised near Kota and Panata Islands where Philippine troops are stationed. In response, Philippines scrambled fighter jets for patrol missions. Furthermore, they consequently deployed an additional company of marines (approximately 200 men). Philippine forces were also placed on alert in response to the sightings of Chinese warships. Philippines also deployed naval vessels to the disputed Scarsborough Shoal and blocked the entry of three non-governmental Chinese boats into the area in, again, April 1997. In May 1997, Philippines arrested 21 Chinese fishermen for poaching off the Scarsborough Shoal. In June 1997, Philippines blasted concrete slabs and pulled up buoys in an area of the Spratly Islands. In the same month, Philippine navy patrolmen fired warning shots at a Chinese fishing vessel near Kota Island and Spratly Islands. In the next month, Philippines arrested at least 23 Chinese and Hong Kong fishermen because of ""illegal entry and illegal fishing."" Chinese Embassy secretary said China would consider official protest. On September 23, 1997, the fishermen were released."
4029,"This dispute is related to a show of force by China against Vietnam. China has resumed exploring oil fields in waters in the Gulf of Tonkin, claimed by Vietnam. The Chinese search, 110 km. off Vietnam, drew strong protest from Hanoi which claims the waters as its territory. The dispute centers on disputed waters near the Spratly Islands (which is claimed by many countries)."
4030,"This dispute is based on a series of consecutive incidents between China and Vietnam over control of the disputed Spratly Islands. In May 1994, China engaged in a show of force by increasing its naval presence around the Spratly Islands with one frigate, landing craft, torpedo boats, two research ships and data collection vessels. In July 1994, two Chinese warships blockaded a Vietnamese oil rig. China turned back at least one ship carrying supplies for the rig. On July 2, 1994, Vietnam seized three Chinese fishing boats and detained their crews. China protested the Vietnam's seizure and demanded the return of the vessels and the crew. In August 1994, Vietnamese gunships engaged in a show of force by forcing a Chinese research vessel to flee an oil field claimed by both countries."
4031,"In March and April of 1995 Canada and Spain were involved in a number of militarized incidents over fishing rights in the Grand Banks. The Canadians charged the Spanish with over-fishing and ignoring minimum size requirements. They responded by showing their Naval forces, boarding some boats, seizing others, and attacking one. The Spanish sent Naval ships to protect the fishing fleet. The dispute was eventually resolved through negotiations. The settlement heavily favored the Canadians."
4032,"Due to civil unrest in Zaire, France and Belgium announced plans to send troops to evacuate nationals from their respective embassies. Zaire allowed French troops in, but threatened to attack any Belgian troops that entered. The Zairean military sealed off the Belgian embassy. However, Zaire allowed France to evacuate the Belgian citizens.  The incident ends without further escalation."
4035,"This dispute consists of 3 incidents in which China is undertaking actions aimed at warning Taiwan against declaring independence. The incidents include Chinese sub incursions, military exercises, and an alert following an accidental Taiwanese shelling. This dispute was coded as separate from FE00064 because the period between the end of this dispute 11/14/94 and the next incident on 7/95 was more than 6 months."
4038,"The dispute is about Cyprus’ opposition to Turkey's presence in northern Cyprus and Turkey's demand for the recognition of the Turkish Republic of Northern Cyprus (TRNC) as a legal independent state. On 1/22/1993 Turkish Prime Minister threatened to use force ""if a situation is created in Cyprus which [Turkey] would not want."" Then on 4/8/1993 Turkish troops guarding UN-controlled buffer zone between Turkish and Greek Cyprus killed a Greek Cypriot national guardsman as he crossed the no-man's land of the buffer zone. Later, on 4/11/1993 Greek-Cypriot guards open fire at two-posts manned by Turkish- Cypriots. (FG)"
4039,"Turkish Radio reported that on 10/14/1993 Cyprion national guardsman fired on a Turkish post, and as a result, Turkish authorities filed a complaint to the UN. This dispute is about Cyprus' opposition to Turkey's presence in northern Cyprus and Turkey's demand for the recognition of the Turkish Republic of Northern Cyprus as a legal independent state (FG). "
4040,"The dispute is about the disagreement between Turkey and Greece over the extent of territorial waters in the Aegean Sea. Turkey adopts 6 nautical miles rule whereas Greece favors 12 nautical miles. On 6/8/1994 Turkish prime minister, Tansu Ciller, stated that if Greece attempted to expand territorial water from 6 to 12 miles, Turkish troops would land on Greek islands in the Agean Sea. On 9/18/1994 Greek patrol boats fired upon Turkish fishing boats and Turkish authorities strongly protested the Greek action. Between 9/25/1994 and 10/1/1994 Turkish foreign minister, Mumtaz Soysal, threatened Greece with war if Athens extended its territorial waters in the Aegean Sea into Turkish territory. In an interview with Kanal-D television on 10/20/1994 Turkish defense minister, Mehmet Golhan, confirmed that Turkish troops in western Turkey had been on ""high alert"" in the event of Greek attempts to extend their territorial waters and threatened war if Greece extends its territorial waters in the Aegean Sea. On 11/10/1994 Greece held naval military exercises north of Crete and on 11/17/1994 Turkey also began naval exercises in proximity to concurrent Greek naval exercises. On 2/8/1995 the Greek defense ministry accused four Turkish F- 16 fighters of violating Greek airspace. On 6/1/1995 Turkish prime minister, Tansu Ciller, reiterated threat of possible war in case Greece extended its territorial waters. On 6/8/1995 two Greek military vessels harass a Turkish boat and Turkey protested."
4041,"Greek nationalists attacked an area of Albania that they claim is populated by ethnic Greeks who are mistreated by the Albanian government. Albania accused the Greek government of supporting these terrorists, but the Greek government maintained its innocence."
4042,"This dispute is based on a series of consecutive incidents between Russia and Japan over the same territorial issues (Kuriles and fishing rights, and alleged border violations). On November 26, 1993, Russia seized the captain and two crew members of a Japanese fishing boat. Russian court sentenced captain to six months for border violation. Japan protested. On March 30, 1994, Russia engaged in a show of force to Japan by dispatching ships off its pacific fleet and two helicopters to Anuchin Islands (Southern Kuriles) after five Japanese fishing trawlers entered the Russian territorial waters. On June 4, 1994, a Russian border patrol ship engaged in a show of force by firing warning shots at six Japanese fishing vessels. The Japanese ships were allegedly in Russian waters. On August, 15, 1994, a Russian coast guard ship fired on a pair of Japanese fishing schooners that were suspected of poaching in Russian territorial waters off the Kurile Islands. Afterwards, the Russian coast guard seized the ship and the crew, detained at a nearby Russian port for at least twenty four hours. Japan protested the Russian actions. On October 4, 1994, Russian border guards sank a Japanese fishing boat and seized its crew in the disputed waters. Japan protested the incident. On March 23, 1995, a Russian warplane violated Japanese airspace off the coast of Hokkaido, according to Japan's claims. Russia denied Japan's claims about this incident. In response to the Russian action, Japanes aircraft ""scrambled."" On April 4, 1995, Russian border guards' marine forces opened warning fire at two Japanese speedboats that entered the Russian territorial waters. The boats left within ten minutes. Japan officially protested Russia two days later. Two days later (on April 6), Russian coast guard ships fired warning shots to force a Japanese fishing boat out of waters near the South Kuriles. On May 10, 1995, six Japanese boats were chased out of Kuriles by Russian coast guards, and warning shots were fired at the boats near Sakhalin Island. Japan protested the Russian show of force. Two weeks later, on May 24, a Russian coast guard fired warning shots at ten Japanese fishing boats to prevent them from entering the Russian territorial waters. Lastly, on September 27, 1995, a Russian coastguard vessel opened fire on two Japanese fishing boats allegedly poaching in a strait between the two countries. One crew member was injured after the Russian coastguard seized the vessels."
4043,"There has been general hostility between Yugoslavia (Serbia) and Albania over Kosovo, the Albanian-populated province in southern Yugoslavia. This hostility erupted into a series of incidents between the summer of 1993 and the summer of 1994."
4045,Tensions mounted between Yugoslavia (Serbia) and Albania because of troop movements in Kosovo near the Albanian border. Start and ending dates are estimated.
4046,"Yugoslavia (Serbia) has a territorial dispute with Macedonia. When Macedonia declared independence in 1991, it defined its borders as those delineated by Yugoslavia when Macedonia was a Yugoslav republic. Yugoslavia has claimed that the true border is further south and that a section of Macedonia's territory really belongs to Yugoslavia. There were numerous incidents on the border between Yugoslavia and Macedonia, some of them involving US troops that were sent there as peacekeepers."
4048,France sent an aircraft carrier to the Adriatic because of the recent killing of two French peacekeepers by Croatian forces. 
4050,Russia and Ukraine had been arguing about how to divide up the Black Sea Fleet since the fall of the Soviet Union. Russia sezied one of the ships that had a lot of expensive equipment on it. This led to a three-day-long confrontation between Russia and Ukraine.
4051,"Russia's 14th army has been stationed in Moldova since before the collapse of the Soviet Union. These troops participated in exercises on February 15, 1993. Moldova lodged an official protest."
4052,"As part of an anti-smuggling patrol, Chinese naval forces conducted an armed boarding of a Russian trawler. The seizure occurred in international waters and was the only incident in the dispute."
4054,"Dispute involves a series of 23 distinct incidents in which Russia and Tajikistan, sometimes supplemented by Turkmenistan, Uzbekistan, Kazakhstan, and Kyrgyzstan, trade threats, shows of force, border fortifications, and attacks with Afghanistan. The dispute primarily revolves around Afghan incursions into Tajikistan and support of militant forces in Tajikistan. In response, Russian, Kazakh, Kyrgyz, Uzbek, Turkmen, and Tajik forces were deployed along the Afghan border and placed on alert. In addition, Russian forces fired artillery and air strikes into Afghanistan as a means of striking militants operating out of Afghanistan. In response, Afghanistan filed protests, threatened retaliation for the strikes, and threatened war if the strikes continued. The most serious event in the dispute occurred when Afghan forces crossed the border into Tajikistan and captured a Russian border post. The fighting that ensued killed a total of 27 people on both sides."
4055,"This dispute involves a series of Russian strikes into Afghanistan between 12/31/94 and 5/95. In addition, Russia placed its forces on alert during this period and fortified the Tajik-Afghan border with, according to reports, 25,000 troops. These actions were in response to repeated attacks into Tajikistan by Afghan- based militants. The Russian attacks involved airstrikes into Afghan villages near the border with Tajikistan. Additionally, Russian forces also conducted artillery strikes into the border areas of Afghanistan. These attacks were aimed at the militants operating out of Afghan territory."
4058,"Albanian soldiers, crossing into Macedonian territory, fired on Macedonian soldiers. Macedonian soldiers returned fire. Albania protested."
4060,The dispute is based on a show of force by Taiwan on a Vietnamese vessel that entered waters claimed by Taiwan. Taiwanese military fired 4 warning shots at a Vietnamese vessel that it said intruded into its sphere of influence in the disputed Spratly Islands. The issue is related to control over the islands. 
4061,This dispute consists of two incidents that occurred in the same day when Chinese fighter planes approached the disputed Senkaku Islands and came close to violating Japanese airspace. Japan responded to the action by scrambling two fighters. This dispute consists of two incidents that occurred in the same day when Chinese fighter planes approached the disputed Senkaku Islands and came close to violating Japanese airspace. Japan responded to the action by scrambling two fighters. 
4062,"This dispute consists of one incident - the Chinese deployment of two submarines to the Senkaku Islands. The Senkakus are an island group that was returned to Japan in 1972, but are claimed by China. The deployment occurred following recent activities by ultra-nationalist groups on the islands. This dispute consists of one incident - the Chinese deployment of two submarines to the Senkaku Islands. The Senkakus are an island group that was returned to Japan in 1972, but are claimed by China. The deployment occurred following recent activities by ultra- nationalist groups on the islands. "
4063,"This dispute involves 2 incidents- an Indonesian naval exercise near the Natuna Islands and the dispatch of 5 warships to the area by China in response to the exercise. The Indonesian exercise was, according to reports, ""intended to warn Beijing that Jakarta will strongly resist any Chinese attempt to assert control over a huge natural gas project being developed by Indonesian and US companies."" China renounced its claims on the Natunas in 1995, but not the gas field. This dispute involve 2 incidents- an Indonesian naval exercise near the Natuna Islands and the dispatch of 5 warships to the area by China in response to the exercise. The Indonesian exercise was, according to reports, ""intended to warn Beijing that Jakarta will strongly resist any Chinese attempt to assert control over a huge natural gas project being developed by Indonesian and US companies."" China renounced its claims on the Natunas in 1995, but not the gas field."
