DispNum3,DispNum4,Story
4381,10509,Uganda threatened to deploy troops into eastern DRC to combat rebels there if the DRC did not do more to disarm the rebels based in eastern DRC.
4385,10601,"On April 24, 2006, about 60 Ethiopian soldiers crossed over the border into neighboring Kenya and attacked the border village of Somare, which was believed to be harboring OLF rebels.  Reports claim that the soldiers abducted two individuals.  A few days later, Ethiopian soldiers crossed the border in another attempt to attack the village of Somare.  However, the soldiers were intercepted and ambushed by a detachment of Kenyan soldiers.  The two groups of soldiers clashed and, while no Kenyan soldiers were killed, reports state that “several” Ethiopian soldiers were killed, although no number was ever specified."
4386,10602,"On April 28, 2006, Ugandan soldiers in machine-gun mounted trucks crossed over into neighboring DRC in pursuit of LRA rebels.  The Ugandan troops came across a detachment of DRC soldiers, and a firefight ensued, resulting in the death of one Ugandan soldier before the Ugandan troops retreated to Ugandan territory."
4387,10603,"In some ways, this MID is a mirror to the previous MID 10201, with many of the same underlying issues between Ethiopia, Somali-based rebels, and the Somali TNC.  This MID contains several incidents of Ethiopian incursions into Somali territory, but without any incidents of violence or fighting with Somali troops or rebels.  On June 18, 2006, Ethiopian forces in several machine-gun mounted trucks crossed into the Gedo region for about 5 hours while simultaneously moving additional troops to the border to prevent incursions from Somalia.  From June 28 to July 4 of 2006, Ethiopian forces occupied the Somali town of Beled Xaawo with about 200 troops. Later, beginning on July 21, Ethiopia moved several hundred troops, supported by about 140 tanks, to south-central Somalia.  It is unclear where the troops were moved to.  However, it is likely that the troops were utilized later in the occupation of the town of Bur Haqaba from Somali rebels."
4388,10604,"On August 17, 2006, Rwandan soldiers apparently crossed over the Rwanda-Burundi border into the Kayanza province before returning to Rwanda.  It is unclear why the violation occurred, but no damage to Burundian territory was reported."
4389,10605,"In a continuation of MID 10504 and MID 10511, Eritrea moved an additional 1500 troops and 14 tanks to the demilitarized zone between Ethiopia and Eritrea."
4390,10606,"On October 18, 2006, Chad reportedly struck several Sudanese military positions in Darfur with aerial bombings in support of SPLA rebels operating in the region.  In response, Sudan threatened that, if the bombings did not stop, Sudan would counter-attack against Chadian villages. This threat was carried out in March 2007, when Sudan bombed villages in the Chadian regions of Gregni and Kariari. In early April 2007, the final incident of the MID occurred when Chad crossed the border with Sudan in pursuit of Chadian National Concord rebels.  During the pursuit, the Chadian military forces clashed with Sudanese military forces near the town of For Baranga, which ultimately resulted in the Chadian forces returning to Chadian territory."
4391,10607,"Beginning in early November 2006, Kenya deployed additional troops and armored vehicles to the border it shares with the Gedo region of Somalia, most likely as a means of preventing a spillover of civil conflict raging in Somalia between the TNC, Ethiopian forces, and Somali rebels."
4392,10701,"The underlying issue of this MID is the ongoing contestation of the border between Uganda and the DRC in and around Lake Albert.  On July 28, 2007 4 Ugandan soldiers were detained by DRC troops while conducting a border survey.  The soldiers were detained until August 6.  During this period, Uganda deployed additional troops to its border with DRC. On September 25, a clash occurred between Ugandan and DRC troops on Lake Albert when a Ugandan military boat came into contact with a DRC boat, onboard of which were two DRC soldiers.  The clash killed one of the DRC soldiers. In December of 2007 two Congolese soldiers were shot and killed on Ugandan territory by Ugandan soldiers for resisting arrest for the suspected rape of Ugandan women."
4393,10702,"On September 9, 2007, six Congolese soldiers were captured and detained by Burundian military forces after attacking Burundian fishermen on Lake Tanganyika.  It is unclear when, or if, the Congolese soldiers were released."
4394,10703,Ethiopian and Eritrean troops stationed along their disputed border briefly exchanged gunfire across the border (see MID 10605 and previous).
4395,10704,"In the final days of 2007, Chad launched an attack, using both ground troops and war planes, against anti-Chadian rebel bases near the Sudanese towns of Rijlal-Haraziya and Karmula in the Darfur region.  Another aerial attack against rebel bases in the Darfur region occurred on January 7, 2008, and again against a rebel base near Ade, Sudan on January 28, 2008. In early April 2008, a Chadian military helicopter launched rockets at a Sudanese military installation in Um Tamjoob, but it is unknown why Chad suddenly attacked a Sudanese military position.  In May 2008 the conflict escalated as Chadian and Sudanese military forces clashed in the Sudanese Kashkash region, with the Sudanese forces ultimately repelling the Chadian attackers. On June 17, Sudanese military forces, including both troops and helicopters, attacked a Chadian military outpost in the Chadian region of Ade.  Finally, on July 13, several Sudanese war planes flew over the Chadian town of Bahay, but did not attack any military or civilian positions."
4396,10801,"While patrolling the Ethiopian-Somalia border near Shabeele, Somalia, Ethiopian soldiers were shot at by a Somali soldier.  In response, the Ethiopian soldiers shot and killed the Somali soldier."
4397,10802,"On March 2, 2008, US AC-130 gunships launched a missile attack on a suspected Al-Qaida hideout in Doblai, Somalia, killing 4 civilians."
4398,10803,"On April 28, 2008, Eritrean forces crossed the border into Djibouti and began building defensive positions, most notably troop trenches on both sides of the border.  It is unclear for how long the Eritrean troops remained in the territory of Djibouti.  Eritrean troops pursued Eritrean military deserters into Djiboutan territory where they encountered and fired upon Djiboutan military units.  The Djiboutans responded with military force.  Two Djiboutan soldiers were killed in the clash."
4399,10804,"On May 9, 2008, Sudanese military forces crossed into the Ethiopian town of Tach Armacheho and proceeded to set fire to the town and steal farm goods. However, the Ethiopian villagers fought back, and took 8 Sudanese soldiers as prisoners. On July 8, Ethiopian troops crossed 10 miles into Sudan and attacked a police camp, killing 1 Sudanese police officer."
4400,10805,"On November 11, 2008, Kenya began amassing soldiers and aircraft along its border with Somalia’s Gedo region, which is the site of the ongoing Ethiopian military occupation of Somali territory and clashes between Ethiopian forces and Somali rebels."
4401,10806,"On December 5, 2008, Ethiopian soldiers fired mortars into a neighborhood of Mogadishu, killing 15 civilians.  Later, in February 2009, Ethiopian troops moved into and occupied a portion of the Bakool region of Somalia and, in May 2009, a portion of the Hiraan region.  In December 2009, hundreds of Ethiopian troops, along with armored vehicles, occupied a section of the Galguduud region of central Somalia.  In March 2010, Ethiopian troops again occupied a portion of central Somalia, using their position as a forward station for searching the area for Islamist rebels."
4402,10901,"On February 27, 2009, Angolan soldiers entered the towns of Sava Ina and Kuzi and began setting fire to homes and state offices.  The soldiers also chased out all of the villagers from the towns and occupied the villages for an unknown amount of time."
4403,10902,"On May 15, 2009, Chadian planes bombed compounds in the Darfur region believed to be housing Chadian anti-government rebels.  Darfur responded to the attack with a statement that such attacks on Sudanese territory would not go unanswered.  Then, on May 17, Chad deployed ground troops to the Darfur region to attack Chadian rebel bases before returning to Chad.  In response to this attack, Sudan stated that its military would attack any Chadian troops attempting to cross the border into Sudan. On July 16, two Chadian bombers carried out an aerial attack against believed rebel bases in the Um Dakhn locality of western Darfur."
4404,10903,In June and September of 2009 Kenya deployed additional troops to its common border with Somalia as a measure against attacks by the Al- Shabab Islamist rebel group.
4405,11001,"On January 3, 2010, Ethiopian troops attacked Eritrean troops in the Zalambesa area of the two countries’ disputed border (see MID 10703 for reference).  However, the Eritrean soldiers fought back the advance of Ethiopian troops, killing 10 Ethiopian troops in the process."
4406,11002,"Beginning on June 28, 2010, Rwanda deployed additional troops to its border with the southwestern Ugandan district of Kabale."
4407,11003,"On June 26, 2010, Eritrea seized 14 Yemeni fishermen in international waters and detained them for 10 days before releasing them.  Later, on August 29, Yemen captured 9 Eritrean soldiers posing as fishermen in the Yemeni port of al-Hoedieda.  The fate of the Yemeni soldiers/fishermen is unclear."
4408,11004,"On August 29, 2010, “hundreds” of Ugandan soldiers crossed into Kenya’s Amkuriat region, stealing cattle and, in the process, killing three Kenyan cattle herders."
4414,20208,"This dispute stems from an underlying territorial issue between Armenia and Azerbaijan over the Nagorno-Karabakh region.  While Nagorno-Karabakh is internationally recognized as Azerbaijani territory, it is primarily populated by ethnic Armenians.  In 1988, Nagorno-Karabakh had attempted to re-unify with Armenia, and subsequently declared independence from Azerbaijan, resulting in civil conflict.  Armenia eventually intervened in the conflict, which ended in a 1994 ceasefire.  Since that time, Nagorno-Karabakh and its surrounding territories have been jointly controlled by the defense forces of the Nagorno-Karabakh republic and the Armenian military.  Since then each side has engaged in frequent border violations, seizures, and clashes, which comprise the majority of incidents in this militarized dispute.  A difficulty encountered when coding these issues was that news reports seldom make any distinction between Armenian military forces, and the Nagorno-Karabakh Defense Force, which is ethnically Armenian and contains a substantial number of Armenian citizens.  Given this issue and the high degree of coordination between Armenian and Nagorno-Karabakh forces, no differentiation could be made between each group.  Thus, all actions taken between these groups and Azeri forces were coded as interstate incidents."
4413,20207,"On 08/06/2002 a Croatian coast guard vessel escorts Slovenian fishing vessels, accompanied by a Slovenian police boat, out of what Croatia claims was its territorial waters.  Slovenia protested the incident and claims that the Croatian vessel was actually in Slovenian waters.  In the time preceding the incident, each side had claimed its territorial waters had been frequently violated by foreign fishing vessels.The two sides came to an agreement on the demarcation of maritime borders in July 2001, but the settlement was not ratified by Croatian parliament.  On 8/23/2002, the Croatian foreign minister agreed to meet with his/her Slovene counterpart to reduce the tension over maritime borders."
4411,20205,"On 5/23/2002, the Russian Federal Border Guard Service deployed reserves to the border with Georgia and Azerbaijan. The purpose of the deployment was to defend against Chechen rebel attempts to enter Russia from Georgia or Azerbaijan."
4409,20203,An Iranian naval vessel entered Azeri waters on 2/22/2002. An Azeri border patrol boat then escorted the Iranian vessel out of Azeri waters.  The Iranian ship then returned to the area with additional naval vessels.
4412,20206,"Six Macedonian soldiers crossed the border between Macedonia and Albania at noon on 7/21/2012. The Macedonian troops crossed 300 meters into Albania and fired on 6 residents in a local village. Albanian civilians were wounded by Macedonian fire. Albania demanded Macedonia join a bilateral verification commission to evaluate the incident, which the latter agreed to."
4410,20204,"Turkish fighter jets harassed Greek jets returning from joint military operations in Cyprus.  The day prior, Turkish jets were accused of violating Cypriot air space.  The incidents are a manifestation of a long-standing dispute between Greece and Turkey over the status of Cyprus."
4320,20201,This is a territorial issue as it follows the pattern of prior disputes where Turkey considers Greek airspace to extend only 6 miles into the Aegean rather than the internationally recognized 12 miles. Each state also holds competing claims over islands within the maritime region. The underlying issue has resulted in several shows of force resulting from airspace violations by each side over the disputed waters and islands.
4415,20209,"On 11/08/2002, two Turkish fighter jets harass Greek civilian aircrafts in the air corridor connecting Cyprus to Greece.  The Greek government protested the incident, which came preceding a peace plan on Cyprus that had been submitted to the UN.  Given the location and timing of this dispute relative to the issuance of the peace plan, this action was coded as being part of the dispute over Cyprus and not the dispute over competing maritime claims in the Aegean."
4242,20202,"Russian forces repeatedly violate Georgian airspace and attack Georgian territory amid operations undertaken to expel Chechen rebels from the Pankisi Gorge.  Georgia protests these actions and frequently responds by fortifying its border. During the time of this dispute, the two states also become engaged in multiple disputes over the separatist regions of Abkhazia and South Ossetia."
4417,20302,Russia protested to Denmark over a Danish naval vessel that Russia accused of performing dangerous actions against a Russian naval vessel holding exercises in the Baltic Sea.
4418,20303,The Azeri military went on alert on 5/27/2003 after Iranian planes violated Azeri airspace.
4419,20304,"A few days before 7/24/2003, Moldovan border guards captured at gunpoint a Ukrainian hydro-engineering facility. The facility is located in the middle of the Dniester River on the Moldova-Ukraine border. Moldova and Ukraine lack a border demarcation agreement. Moldova claimed that the facility was in its territory. It insisted that any demarcation be along the Dniester River, an arrangement that again would place the facility in Moldovan territory."
4416,20301,"Georgia protests the Russian deployment of additional troops and equipment to the Tskhinval area (South Ossetia). Georgia claims these actions run counter to the spirit of the Conventional Armed Forces in Europe Treaty. The two have an outstanding disagreement over the separatist South Ossetia and Abkhazia regions, and are simultaneously engaged in a dispute over Russian attempts to dislodge Chechen rebels from the Pankisi Gorge."
4420,20305,"Russian peacekeeping forces deployed troops and armored equipment in villages outside their jurisdiction.  Georgian officials protested the incident. Russian officials claimed the troops were searching for a Russian soldier who was suspected to have been kidnapped. The two have an outstanding disagreement over the separatist South Ossetia and Abkhazia regions, and are simultaneously engaged in a dispute over Russian attempts to dislodge Chechen rebels from the Pankisi Gorge."
4421,20401,"On March 24, 2004 Uzbek border guards shot a Tajik civilian who was allegedly collecting scrap metal on Uzbek territory."
4423,20403,"Like MID 20201, this MID is comprised of a dispute between Greece and Turkey over their maritime boundaries and island holdings in the Aegean Sea.  Once again, the incidents of this MID are shows of force, with each state flying its aircraft into the disputed territory and “harassing” the aircraft of the other state."
4422,20402,"On 4/2/2004, a vehicle transporting Russian officials is fired upon by Georgian forces; there is no evidence of return fire.  On 7/6 of the same year, Georgia detains trucks and equipment of Russian peacekeeping forces, which Russian officials then protest.  A month later, a Russian military jet violates Georgian airspace near South Ossetia. This violation appears to be linked with the South Ossetia/Abkhazia issue incompatibility between the two states and not their simultaneous dispute over Chechen encampments in the Pankisi Gorge."
4425,20502,"On May 23, 2005, a marine unit deployed from the Russian Black Sea Fleet attempted to land troops in Ukrainian territory near Feodosiya, Crimea. Ukrainian border troops repelled the violation and the Russian ship left Ukrainian territorial waters.  It is unclear what motivated the border violation."
4426,20503,"In March of 2005, the Tajik military was placed on heightened alert along the Tajikistan-Kyrgyzstan border to stop terrorist or criminal elements from crossing the border into the country.  Later, in June of 2005, several Kyrgyz soldiers clashed with Tajik residents, with the ultimate outcome being that the soldiers were taken captive by the Tajik residents in their village.  The fate of the soldiers is unknown."
4427,20504,"Tajikistan fortifies its border with Uzbekistan on 5/13/2005, citing instability in the latter state as a cause.  Uzbekistan then closes its border with Tajikistan. On 11/2/2005, Tajikistan again fortifies its border with Uzbekistan."
4428,20505,"A group of 500 residents of the Uzbek side of Kara Su attempted to cross into Kyrgyzstan.  In response, both Kyrgyzstan and Uzbekistan bring additional troops to their border check-points in the town."
4429,20506,Norway detained two Russian fishing boats that it cited as illegally fishing in Norway’s territorial waters. Russian officials protested the seizure. It is unclear if or when the boats were released.
4430,20507,Kyrgyzstan reinforced its border checkpoint in the Palman region along the Kyrgyzstan-Uzbekistan border.  The incident came after Uzbek citizens allegedly entered Kyrgyzstani territory and attacked the aforementioned checkpoint.
4424,20501,"Russia and Georgia engage in several militarized incidents over the South Ossetia/Abkhazia Issue.  Over the course of the dispute, Russian troops violated undisputed Georgian territory, and Georgia seizes Russian Military officials accused of spying. The two states have frequently been engaged in such disputes over South Ossetia and Abkhazia, as well as the Chechen encampment in the Pankisi Gorge."
4431,20601,"Greece and Turkey again engage in a series of shows of force in the Aegean, including several airspace and maritime border violations.  The two sides share competing maritime and territorial claims in the region."
4434,20604,"Armenian soldiers fire shots across the Turkish-Armenian border, resulting in a Turkish diplomatic protest.  Tensions between the two states have remained high, in part due to Turkish support with Azerbaijan in the Nagorno-Karabakh dispute."
4433,20603,"This MID is comprised of multiple incidents wherein Tajik border guards fire upon Uzbek civilians or territory.  In one case, an Uzbek border guard had violated the Tajik border.  Incidents such as these have occurred with relative frequency, in part because the border between the two is mined and not fully delimited."
4432,20602,"On two separate occasions, Kyrgyz border guards fired upon Uzbeks accused of entering Kyrgyz territory."
4436,20702,"Russia and Georgia engage in several militarized incidents over the South Ossetia/Abkhazia issue, culminating in the 2008 Russia-Georgia War.  The war resulted from a Georgian attempt to retake South Ossetia.  Russia launched a counter-offensive in both South Ossetia and Abkhazia, ultimately driving Georgian forces from each region.  The conflict did not produce one- thousand battlefield deaths, and it is, therefore, not coded as a war.  While the bulk of hostilities were short-lived, the two states continued to engage in militarized incidents through 2010, typically over Russian land-holdings in the region following the war.  While Russia attained a clear military victory during the 2008 war, the underlying issue over the rule of South Ossetia and Abkhazia remains unresolved, and the dispute is thus coded as ending in a stalemate."
4437,20703,"In December of 2007, a Russian jet violates Finnish airspace. In February 2008, a Russian reconnaissance plane again flew into Finnish airspace before turning around."
